title,salary,hinhthuc,capbac,gender,ex,add,keyword,link
Tuyển Giám Đốc Vận Hành Kỹ Thuật Số (Digital Technology Operation Manager),Thoả thuận,Toàn thời gian,Giám đốc,Nữ,5 năm,Hà Nội,"IT phần mềm,Ngân hàng / Tài chính,Quản lý điều hành,Việc làm IT",https://www.topcv.vn/viec-lam/giam-doc-van-hanh-ky-thuat-so-digital-technology-operation-manager/801007.html
Tuyển Nhân Viên Ban Đào Tạo Khóa Học Kinh Doanh (Business Course- Bc),Thoả thuận,Toàn thời gian,Nhân viên,Nữ,Không yêu cầu kinh nghiệm,Hồ Chí Minh,"Giáo dục / Đào tạo,Dịch vụ khách hàng,Hành chính / Văn phòng",https://www.topcv.vn/viec-lam/nhan-vien-ban-dao-tao-khoa-hoc-kinh-doanh-business-course-bc/809140.html
Tuyển Nhân Viên Hành Chính Không Yêu Cầu Kinh Nghiệm,Tới 8 triệu,Toàn thời gian,Nhân viên,Nữ,Không yêu cầu kinh nghiệm,Hà Nội,Hành chính / Văn phòng,https://www.topcv.vn/viec-lam/nhan-vien-hanh-chinh-khong-yeu-cau-kinh-nghiem/809353.html
Tuyển Chuyên Viên Thuyết Minh Sản Phẩm - Bán Hàng,Trên 10 triệu,Toàn thời gian,Nhân viên,Nữ,Dưới 1 năm,Hà Nội,"Kinh doanh / Bán hàng,Biên / Phiên dịch,Xuất nhập khẩu",https://www.topcv.vn/viec-lam/chuyen-vien-thuyet-minh-san-pham-ban-hang/811278.html
Tuyển Chuyên Viên Thiết Kế - Graphic Designer (Lương Thưởng Hấp Dẫn),Thoả thuận,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hà Nội,"Thiết kế đồ họa,Dịch vụ khách hàng,Marketing / Truyền thông / Quảng cáo",https://www.topcv.vn/viec-lam/chuyen-vien-thiet-ke-graphic-designer-luong-thuong-hap-dan/808944.html
,10-25 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hà Nội,,
Tuyển Nhân Viên Hành Chính Nhân Sự Tổng Hợp (Nữ),Trên 12 triệu,Toàn thời gian,Nhân viên,Nữ,1 năm,Hồ Chí Minh,"Hành chính / Văn phòng,Nhân sự",https://www.topcv.vn/viec-lam/nhan-vien-hanh-chinh-nhan-su-tong-hop-nu/809809.html
Tuyển Nhân Viên Văn Phòng Làm Giờ Hành Chính Tại Liên Chiểu (Không Áp Kpi) - Lương Từ 8 - 20 Triệu,8-20 triệu,Toàn thời gian,Nhân viên,Nữ,Không yêu cầu kinh nghiệm,Đà Nẵng,"Kinh doanh / Bán hàng,Dịch vụ khách hàng,Tư vấn",https://www.topcv.vn/viec-lam/nhan-vien-van-phong-lam-gio-hanh-chinh-tai-lien-chieu-khong-ap-kpi-luong-tu-8-20-trieu/553201.html
Tuyển Tour Operator ( Điều Hành Du Lịch ) - Lương Cứng 8 Triệu,Trên 6 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hà Nội,"Du lịch,Kinh doanh / Bán hàng,Dịch vụ khách hàng",https://www.topcv.vn/viec-lam/tour-operator-dieu-hanh-du-lich-luong-cung-8-trieu/804419.html
Tuyển Chỉ Huy Trưởng Xây Dựng,17-25 triệu,Toàn thời gian,Quản lý / Giám sát,Nam,Trên 5 năm,Hà Nội,"Xây dựng,Hoạch định/Dự án,Kiến trúc",https://www.topcv.vn/viec-lam/chi-huy-truong-xay-dung/804306.html
Tuyển Quản Lý Quan Hệ Khách Hàng Bam - Key Account [Hà Nội],Thoả thuận,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,Hà Nội,"Kinh doanh / Bán hàng,Dịch vụ khách hàng,Ngân hàng / Tài chính",https://www.topcv.vn/viec-lam/quan-ly-quan-he-khach-hang-bam-key-account-ha-noi/806162.html
